-BEGIN HEADER-,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,
Dates (month/day/year): 01/15/2026 through 01/15/2026 in LST,,,,,
Location: Latitude  34.1526   Longitude 77.5771 ,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4532.61 meters,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,
Parameter(s): ,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,
-END HEADER-,,,,,
YEAR,MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN
2026,1,15,0,-13.23,0
2026,1,15,1,-13.81,0
2026,1,15,2,-14.66,0
2026,1,15,3,-15.61,0
2026,1,15,4,-16.5,0
2026,1,15,5,-17.37,0
2026,1,15,6,-18.1,0
2026,1,15,7,-17.46,66.3
2026,1,15,8,-14.46,236
2026,1,15,9,-10.48,416.23
2026,1,15,10,-7.17,544.58
2026,1,15,11,-5.49,528.75
2026,1,15,12,-4.56,519.65
2026,1,15,13,-4.26,512.8
2026,1,15,14,-4.44,372.4
2026,1,15,15,-5.15,190.8
2026,1,15,16,-6.32,45.72
2026,1,15,17,-7.98,0
2026,1,15,18,-8.71,0
2026,1,15,19,-9.65,0
2026,1,15,20,-10.57,0
2026,1,15,21,-11.39,0
2026,1,15,22,-12.15,0
2026,1,15,23,-12.8,0
